country,valence,continent,color
MX,0.6878166666666666,NA,red
UY,0.6827066666666667,SA,red
AR,0.6576666666666667,SA,red
GT,0.6528916666666668,NA,red
BO,0.6405766666666667,SA,red
BR,0.63896,SA,red
JP,0.635475,AS,black
EG,0.6329346666666666,AF,black
CL,0.631265,SA,red
NG,0.6239916666666666,AF,black
PE,0.618865,SA,red
NI,0.6176383333333333,NA,red
PY,0.6158533333333334,SA,red
CO,0.61506,SA,red
EC,0.6132883333333333,SA,red
BG,0.6109308333333333,EU,black
SV,0.6103233333333334,NA,red
HN,0.6057618333333333,NA,red
DO,0.6014766666666667,NA,red
FI,0.5985341666666667,EU,black
CR,0.5827918333333334,NA,red
RO,0.5801341666666666,EU,black
FR,0.57478,EU,black
ES,0.5735683333333333,EU,black
PA,0.5655685,NA,red
DK,0.564787,EU,black
MA,0.5592818333333334,AF,black
VE,0.5572045,SA,red
NL,0.5522333333333332,EU,black
PT,0.5505853333333334,EU,black
LT,0.5495788333333333,EU,black
BY,0.5494051666666667,EU,black
UA,0.5401353333333333,EU,black
GR,0.538804,EU,black
SE,0.5374178333333334,EU,black
TR,0.5354886666666667,AS,black
HU,0.5340731666666666,EU,black
DE,0.533192,EU,black
KR,0.5319856666666667,AS,black
AT,0.5282545,EU,black
KZ,0.5239778333333333,AS,black
NO,0.523733,EU,black
IN,0.5232766666666667,AS,black
PK,0.5226283333333334,AS,black
BE,0.5221593333333333,EU,black
NZ,0.521633,OC,black
PL,0.5215083333333334,EU,black
LU,0.5197879178342847,EU,black
TH,0.5194651666666666,AS,black
IT,0.5159916666666667,EU,black
PH,0.5126191666666667,AS,black
IS,0.5094811666666667,EU,black
AU,0.5045864999999999,OC,black
GB,0.5032023333333333,EU,black
CH,0.5022194999999999,EU,black
SG,0.5016751666666667,AS,black
TW,0.501543,AS,black
ZA,0.5002343333333333,AF,black
SA,0.4981611666666666,AS,black
AE,0.4976851666666666,AS,black
IE,0.49730083333333336,EU,black
EE,0.4967978333333333,EU,black
LV,0.49344733333333335,EU,black
VN,0.48981233333333335,AS,black
CA,0.4893881666666666,NA,red
CZ,0.4868981666666667,EU,black
HK,0.48399366666666666,AS,black
SK,0.47731683333333336,EU,black
US,0.47355966666666666,NA,red
IL,0.45751533333333333,AS,black
MY,0.4458533333333334,AS,black
ID,0.3728033333333333,AS,black
